SiteCode,name,value,vline
RSsini,inclinação,1.1980289976122005,1
RSsmar2,intercepto,0.46199228870161435,0
RSsmar2,inclinação,1.2348715029055086,1
RSvsol,intercepto,-0.09724761901971934,0
RSvsol,inclinação,1.1350465818049111,1
SCcric1,intercepto,0.11992487268615878,0
SCcric1,inclinação,1.0302744232130838,1
SCilho,intercepto,0.14740987290007393,0
SCilho,inclinação,2.5927600276593874,1
SCilho2,intercepto,0.14003133953272215,0
SCilho2,inclinação,2.488249103269227,1
SCorle,intercepto,0.276711827316727,0
SCorle,inclinação,1.0876712752437734,1
SCserra4,intercepto,0.20226620828579642,0
SCserra4,inclinação,1.1198116495498385,1
SCside,intercepto,0.08756710674666901,0
SCside,inclinação,0.9978291396885073,1
SCside1,intercepto,0.12256503837258557,0
SCside1,inclinação,1.1486467779360579,1
SCside4,intercepto,-0.05432320929425974,0
SCside4,inclinação,1.063858014259342,1
SCsjo1,intercepto,0.2264751140746126,0
SCsjo1,inclinação,1.10017385771577,1
SCtimbe1,intercepto,0.3266408829216201,0
SCtimbe1,inclinação,3.1125303304559107,1
SCvolta1,intercepto,-0.48938609520940934,0
SCvolta1,inclinação,0.25666568789825245,1
SCvolta2,intercepto,0.510946943598054,0
SCvolta2,inclinação,3.077852633747752,1
SPcana1,intercepto,0.08803259728399815,0
SPcana1,inclinação,1.2692162769559234,1
SPcara1,intercepto,-0.154412260724011,0
SPcara1,inclinação,4.0888221757224015,1
SPcara3,intercepto,0.12912984463726213,0
SPcara3,inclinação,1.0672588884131562,1
SPeec1,intercepto,0.059446268521946045,0
SPeec1,inclinação,1.66964599561065,1
SPeec4,intercepto,-0.09365354451163974,0
SPeec4,inclinação,1.559776445420358,1
SPeec5,intercepto,-0.30492342208182155,0
SPeec5,inclinação,0.6742524268010823,1
SPigua1,intercepto,0.004541579905174435,0
SPigua1,inclinação,1.4430838111090056,1
SPitir1,intercepto,0.08304316266022106,0
SPitir1,inclinação,1.097561912574718,1
SPjabo1,intercepto,0.22697415370016216,0
SPjabo1,inclinação,1.0591658035144218,1
SPpecb1,intercepto,0.08410388768561532,0
SPpecb1,inclinação,1.986337749850416,1
SPpei1,intercepto,0.016368955126978234,0
SPpei1,inclinação,0.4054597978762752,1
SPpesm6,intercepto,-0.09805104359476594,0
SPpesm6,inclinação,1.093291373136745,1
SPpesmA,intercepto,-0.0741837042801529,0
SPpesmA,inclinação,1.071172912760098,1
SPpesmB,intercepto,0.06611370131686373,0
SPpesmB,inclinação,1.4561072539143616,1
SPpesmC,intercepto,0.0721425022832287,0
SPpesmC,inclinação,1.4837907392132372,1
SPpesmD,intercepto,0.07144786217643757,0
SPpesmD,inclinação,1.0836054026832531,1
SPpesmE,intercepto,0.018252204188645912,0
SPpesmE,inclinação,1.562514880834667,1
SPpesmF,intercepto,0.01900637426842702,0
SPpesmF,inclinação,1.155230497947374,1
SPpesmG,intercepto,0.07960974176290175,0
SPpesmG,inclinação,1.7977797069467563,1
SPpesmH,intercepto,0.19779639593267204,0
SPpesmH,inclinação,2.457605648068469,1
SPpesmI,intercepto,0.1554235117833943,0
SPpesmI,inclinação,2.336302498746209,1
SPpesmJ,intercepto,0.1205587536311027,0
SPpesmJ,inclinação,2.513737036904215,1
SPpesmK,intercepto,0.060745426370721736,0
SPpesmK,inclinação,1.8491295116472313,1
SPpesmL,intercepto,-0.0887175101890419,0
SPpesmL,inclinação,0.6734307337047443,1
SPpesmM,intercepto,0.15794752920095215,0
SPpesmM,inclinação,1.8600541424818209,1
SPpesmN,intercepto,0.1695654655738202,0
SPpesmN,inclinação,1.397769617905391,1
SPpesmS,intercepto,-0.012619643232201884,0
SPpesmS,inclinação,3.8573079711676863,1
SPpesmU,intercepto,0.09741687261004513,0
SPpesmU,inclinação,2.5226659800802946,1
