Ntotal,S_obs,p,lado_km,SiteCode
1519,265,0.4028349336991312,14.58,ESsoor
1519,265,0.40325281132861307,14.7,ESsoor
1519,265,0.40328476126473145,14.82,ESsoor
1519,265,0.4030822083514782,14.94,ESsoor
1519,265,0.4029063030745544,15.06,ESsoor
1519,265,0.4028066365667328,15.18,ESsoor
1519,265,0.4028988850442138,15.3,ESsoor
1519,265,0.40295840966555135,15.42,ESsoor
1519,265,0.40321402483564645,15.54,ESsoor
1519,265,0.40362369900618017,15.66,ESsoor
1519,265,0.4043032283248276,15.78,ESsoor
1519,265,0.4051192595229619,15.9,ESsoor
1519,265,0.4059321915021953,16.02,ESsoor
1519,265,0.40660369536076063,16.14,ESsoor
1519,265,0.40725548399395434,16.26,ESsoor
1519,265,0.4077607374310671,16.38,ESsoor
1519,265,0.40847272727272727,16.5,ESsoor
1519,265,0.40943124503121375,16.62,ESsoor
1519,265,0.4105323672614689,16.74,ESsoor
1519,265,0.4117665683058725,16.86,ESsoor
1519,265,0.4129406035785189,16.98,ESsoor
1519,265,0.413887349953832,17.1,ESsoor
1519,265,0.41480107807548955,17.22,ESsoor
1519,265,0.4156828821493996,17.34,ESsoor
1519,265,0.4164836267875911,17.46,ESsoor
1519,265,0.41710445083809944,17.58,ESsoor
1519,265,0.41767020970985347,17.7,ESsoor
1519,265,0.41809509233751657,17.82,ESsoor
1519,265,0.4183146720953904,17.94,ESsoor
1519,265,0.4185825763512544,18.06,ESsoor
1519,265,0.4188859480007407,18.18,ESsoor
1519,265,0.41904326793872615,18.3,ESsoor
1519,265,0.41938906513596963,18.42,ESsoor
1519,265,0.41979294309862697,18.54,ESsoor
1519,265,0.42003804758015323,18.66,ESsoor
1519,265,0.42022731680429526,18.78,ESsoor
1519,265,0.4203880070546737,18.9,ESsoor
1519,265,0.4204888097204669,19.02,ESsoor
1519,265,0.4207800630890027,19.14,ESsoor
1519,265,0.4211454663677565,19.26,ESsoor
1519,265,0.4216756606504424,19.38,ESsoor
1519,265,0.42228165680473373,19.5,ESsoor
1519,265,0.42290912661672697,19.62,ESsoor
1519,265,0.42355484520652986,19.74,ESsoor
1519,265,0.4240217778224003,19.86,ESsoor
1519,265,0.42444246047849654,19.98,ESsoor
1519,265,0.4248964134551125,20.1,ESsoor
1519,265,0.425241483151212,20.22,ESsoor
1519,265,0.4255858372273127,20.34,ESsoor
1519,265,0.42579828174852297,20.46,ESsoor
1519,265,0.4259237222585827,20.58,ESsoor
1519,265,0.4260218441503886,20.7,ESsoor
1519,265,0.4260084379074654,20.82,ESsoor
1519,265,0.42603919508050014,20.94,ESsoor
1519,265,0.4261471091955422,21.06,ESsoor
1519,265,0.4262272388029757,21.18,ESsoor
1519,265,0.42648085697282284,21.3,ESsoor
1519,265,0.42681974750684587,21.42,ESsoor
1519,265,0.4270548024922215,21.54,ESsoor
1519,265,0.42720474827541227,21.66,ESsoor
1519,265,0.42751899156857837,21.78,ESsoor
1519,265,0.42785325577031336,21.9,ESsoor
1519,265,0.4281325869224658,22.02,ESsoor
1519,265,0.428312806163292,22.14,ESsoor
1519,265,0.42849332684301916,22.26,ESsoor
4137,384,1,0.3,MGlavr3
4137,384,1,0.42,MGlavr3
4137,384,0.9907407407407407,0.54,MGlavr3
4137,384,0.9731404958677686,0.66,MGlavr3
4137,384,0.9349112426035503,0.78,MGlavr3
4137,384,0.9066666666666666,0.9,MGlavr3
4137,384,0.8771626297577855,1.02,MGlavr3
4137,384,0.8421052631578947,1.14,MGlavr3
4137,384,0.8197278911564626,1.26,MGlavr3
4137,384,0.803875236294896,1.38,MGlavr3
4137,384,0.788,1.5,MGlavr3
4137,384,0.7722908093278463,1.62,MGlavr3
4137,384,0.7586206896551724,1.74,MGlavr3
4137,384,0.7476586888657648,1.86,MGlavr3
4137,384,0.7412764003673095,1.98,MGlavr3
4137,384,0.7371428571428571,2.1,MGlavr3
4137,384,0.7330168005843681,2.22,MGlavr3
4137,384,0.7329059829059829,2.34,MGlavr3
4137,384,0.7266508030933968,2.46,MGlavr3
4137,384,0.7172796106003245,2.58,MGlavr3
4137,384,0.7085185185185185,2.7,MGlavr3
4137,384,0.6991851516523314,2.82,MGlavr3
4137,384,0.6903373594335693,2.94,MGlavr3
4137,384,0.683679354094579,3.06,MGlavr3
4137,384,0.6758632965468138,3.18,MGlavr3
4137,384,0.6728099173553719,3.3,MGlavr3
4137,384,0.6737457679285934,3.42,MGlavr3
4137,384,0.6762424590634875,3.54,MGlavr3
4137,384,0.6776404192421392,3.66,MGlavr3
4137,384,0.6771227009322247,3.78,MGlavr3
4137,384,0.6715384615384615,3.9,MGlavr3
4137,384,0.6650144798396079,4.02,MGlavr3
4137,384,0.6591577399705945,4.14,MGlavr3
4137,384,0.6534417774251141,4.26,MGlavr3
4137,384,0.646322011634453,4.38,MGlavr3
4137,384,0.6392444444444444,4.5,MGlavr3
4137,384,0.6329482206105582,4.62,MGlavr3
4137,384,0.6270229129947124,4.74,MGlavr3
4137,384,0.6225422953818015,4.86,MGlavr3
4137,384,0.6201916098127449,4.98,MGlavr3
4137,384,0.6189965397923876,5.1,MGlavr3
4137,384,0.6186418285110319,5.22,MGlavr3
4137,384,0.6187981315490468,5.34,MGlavr3
4137,384,0.6193696413476634,5.46,MGlavr3
4137,384,0.6205052607237831,5.58,MGlavr3
4137,384,0.6212465373961219,5.7,MGlavr3
4137,384,0.6203369114677436,5.82,MGlavr3
4137,384,0.6186358534843384,5.94,MGlavr3
4137,384,0.6178560925399471,6.06,MGlavr3
4137,384,0.6174238853803374,6.18,MGlavr3
4137,384,0.6165079365079366,6.3,MGlavr3
4137,384,0.6156651235915801,6.42,MGlavr3
4137,384,0.6160255870717953,6.54,MGlavr3
4137,384,0.6171374076779482,6.66,MGlavr3
4137,384,0.6185292505286241,6.78,MGlavr3
4137,384,0.6197164461247637,6.9,MGlavr3
4137,384,0.6208817298560888,7.02,MGlavr3
4137,384,0.6217604688934397,7.14,MGlavr3
4137,384,0.6237108121029984,7.26,MGlavr3
4137,384,0.6263632758278802,7.38,MGlavr3
4137,384,0.628832,7.5,MGlavr3
4137,384,0.6309597619195239,7.62,MGlavr3
4137,384,0.6329247040442281,7.74,MGlavr3
4137,384,0.6349426024124468,7.86,MGlavr3
4137,384,0.6377833681949234,7.98,MGlavr3
4137,384,0.6402743484224965,8.1,MGlavr3
4137,384,0.643241515264532,8.22,MGlavr3
4137,384,0.6462786605248175,8.34,MGlavr3
4137,384,0.6488607212916855,8.46,MGlavr3
4137,384,0.65126656560223,8.58,MGlavr3
4137,384,0.6540665873959572,8.7,MGlavr3
4137,384,0.6566939701050488,8.82,MGlavr3
4137,384,0.6600716183955677,8.94,MGlavr3
4137,384,0.6630959168457524,9.06,MGlavr3
4137,384,0.6655880217010551,9.18,MGlavr3
4137,384,0.6675962539021852,9.3,MGlavr3
4137,384,0.6694794920686438,9.42,MGlavr3
4137,384,0.6706815394960642,9.54,MGlavr3
4137,384,0.6710003472088268,9.66,MGlavr3
4137,384,0.671289849072227,9.78,MGlavr3
4137,384,0.6714784205693297,9.9,MGlavr3
4137,384,0.6716178421599914,10.02,MGlavr3
4137,384,0.6719302545429081,10.14,MGlavr3
4137,384,0.6717793509113915,10.26,MGlavr3
4137,384,0.6713555414480938,10.38,MGlavr3
4137,384,0.6712408163265307,10.5,MGlavr3
4137,384,0.6714625426920744,10.62,MGlavr3
4137,384,0.6713975843450579,10.74,MGlavr3
4137,384,0.6714843869234761,10.86,MGlavr3
4137,384,0.6715040759652423,10.98,MGlavr3
4137,384,0.6716435354273192,11.1,MGlavr3
4137,384,0.6718522119591638,11.22,MGlavr3
4137,384,0.6724055877495031,11.34,MGlavr3
4137,384,0.672761163345303,11.46,MGlavr3
4137,384,0.6730851834948589,11.58,MGlavr3
4137,384,0.6732018408941486,11.7,MGlavr3
4137,384,0.673632404854544,11.82,MGlavr3
4137,384,0.6739855054165299,11.94,MGlavr3
4137,384,0.6741046013712532,12.06,MGlavr3
4137,384,0.6736513868329734,12.18,MGlavr3
4137,384,0.672647233789411,12.3,MGlavr3
4137,384,0.6714334056804127,12.42,MGlavr3
4137,384,0.6705318101691811,12.54,MGlavr3
4137,384,0.6695379708452192,12.66,MGlavr3
4137,384,0.6682481430051357,12.78,MGlavr3
4137,384,0.6668631692806922,12.9,MGlavr3
4137,384,0.6654526534859522,13.02,MGlavr3
4137,384,0.6639821938658493,13.14,MGlavr3
4137,384,0.6629778260068385,13.26,MGlavr3
4137,384,0.662163928492429,13.38,MGlavr3
4137,384,0.6615111111111112,13.5,MGlavr3
4137,384,0.6609239457392925,13.62,MGlavr3
4137,384,0.6604898838694915,13.74,MGlavr3
4137,384,0.659924851483293,13.86,MGlavr3
4137,384,0.6592772016430585,13.98,MGlavr3
4137,384,0.6590086011770032,14.1,MGlavr3
4137,384,0.6591447239580551,14.22,MGlavr3
4137,384,0.659486003396299,14.34,MGlavr3
4137,384,0.6601771663711025,14.46,MGlavr3
4137,384,0.6612940100594421,14.58,MGlavr3
4137,384,0.6623406913785923,14.7,MGlavr3
4137,384,0.6634635873395729,14.82,MGlavr3
4137,384,0.6645376687472783,14.94,MGlavr3
4137,384,0.6655727686862113,15.06,MGlavr3
4137,384,0.6662773984908372,15.18,MGlavr3
4137,384,0.6671088043060361,15.3,MGlavr3
4137,384,0.6678867204651092,15.42,MGlavr3
4137,384,0.6688182943009198,15.54,MGlavr3
4137,384,0.6695952789888581,15.66,MGlavr3
4137,384,0.67065448394512,15.78,MGlavr3
4137,384,0.6720683517265931,15.9,MGlavr3
4137,384,0.6735646453169494,16.02,MGlavr3
4137,384,0.674938848274623,16.14,MGlavr3
4137,384,0.6760018245938917,16.26,MGlavr3
4137,384,0.6771089106253941,16.38,MGlavr3
4137,384,0.6781421487603306,16.5,MGlavr3
4137,384,0.6793682962113412,16.62,MGlavr3
4137,384,0.6809618324533344,16.74,MGlavr3
4137,384,0.6825046541963754,16.86,MGlavr3
4137,384,0.6840671003508597,16.98,MGlavr3
4137,384,0.6856294244382887,17.1,MGlavr3
4137,384,0.6871547548228095,17.22,MGlavr3
4137,384,0.6884705642892207,17.34,MGlavr3
4137,384,0.6898507339308699,17.46,MGlavr3
4137,384,0.6913796316788781,17.58,MGlavr3
4137,384,0.6928813559322033,17.7,MGlavr3
4137,384,0.6943395798614653,17.82,MGlavr3
4137,384,0.6957724186530352,17.94,MGlavr3
4137,384,0.6968714473350184,18.06,MGlavr3
