SiteCode,effort_ha,Ntotal,S_obs,tif.path,k,d
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.6499999999999999,2.203955118791273
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.5999999999999999,2.443155530235442
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.5499999999999999,2.6756567000556313
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.49999999999999994,2.9437954580484242
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.44999999999999996,3.2664502260265236
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.3999999999999999,3.599359065239304
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.34999999999999987,3.9907944137639046
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.29999999999999993,4.495786592450847
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.2499999999999999,5.162168916059087
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.19999999999999996,6.00113180132068
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.1499999999999999,7.287976030273141
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.09999999999999987,9.352141442975098
MGuberl1,1.1,1393,89,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl1.tif,0.05,14.422897016437492
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.99,0.6646567995046233
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.95,0.9437391718517532
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.8999999999999999,1.1573038889720286
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.85,1.3349616125056938
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.7999999999999999,1.507763408675195
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.75,1.679665397409246
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.7,1.848702323716672
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.6499999999999999,2.051328124323176
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.5999999999999999,2.257807870107621
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.5499999999999999,2.4682915290662293
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.49999999999999994,2.7038943378493694
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.44999999999999996,2.9918812904681036
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.3999999999999999,3.301838803286056
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.34999999999999987,3.67679670556021
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.29999999999999993,4.182188382405548
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.2499999999999999,4.752272552830931
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.19999999999999996,5.536052918344743
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.1499999999999999,6.7475808072114605
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.09999999999999987,8.581677317667946
MGlavr6,1.12,1666,165,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGlavr6.tif,0.05,12.99970919067953
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.99,0.8212852921282427
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.95,1.161394971136083
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.8999999999999999,1.4218208320343995
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.85,1.6496148371794626
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.7999999999999999,1.8714139079027894
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.75,2.0848788659294444
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.7,2.2900305004262695
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.6499999999999999,2.5264600395046104
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.5999999999999999,2.7824315104728874
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.5499999999999999,3.0539079805474274
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.49999999999999994,3.350027080553464
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.44999999999999996,3.7148820162436165
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.3999999999999999,4.099121785000394
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.34999999999999987,4.574145634516972
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.29999999999999993,5.140280147613766
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.2499999999999999,5.834227620561979
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.19999999999999996,6.863561764672424
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.1499999999999999,8.302205985478624
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.09999999999999987,10.641703702289437
MGuberl3,1,976,86,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl3.tif,0.05,15.748656165237598
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.99,0.8352867491054013
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.95,1.1832995195647518
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.8999999999999999,1.4561105158027963
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.85,1.6809130942209292
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.7999999999999999,1.8933323443150154
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.75,2.1026489434589775
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.7,2.3413034032039106
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.6499999999999999,2.5641124555596138
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.5999999999999999,2.825772387174793
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.5499999999999999,3.1040197018144973
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.49999999999999994,3.4039227567371086
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.44999999999999996,3.759997297850181
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.3999999999999999,4.1694825766924914
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.34999999999999987,4.6483356319240166
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.29999999999999993,5.236042074338129
