SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
PEmata2,16.02,0.09999999999999988,0.00145913,0.00148859,0.00152743,0.00173,0.00139054,0.00153966,0.0015465,0.00160166,0.00169843,0.0014945
PEmata2,8.01,0.09999999999999988,0.0022538,0.0023787,0.00196767,0.00220056,0.00220794,0.00244453,0.00217132,0.00213989,0.00226519,0.00213008
PEmata2,4.005,0.09999999999999988,0.00335344,0.0032197,0.00339022,0.00326378,0.00330056,0.0029797,0.003345,0.00332504,0.00323449,0.00328358
PEmata2,2.0025,0.09999999999999988,0.00459678,0.00459678,0.0046175,0.00495503,0.00455259,0.00455259,0.00453053,0.00501025,0.00501025,0.00469641
PEmata2,1.00125,0.09999999999999988,0.00698988,0.00663771,0.00663771,0.00663771,0.00689063,0.00689063,0.00689063,0.00689063,0.00674751,0.00674751
PEmata2,0.500625,0.09999999999999988,0.00971961,0.00971961,0.0100543,0.0100543,0.0100543,0.0100543,0.0100543,0.0102168,0.0102168,0.0102168
