SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SCsjo1,16.02,0.2499999999999999,0.00308849,0.00303661,0.00232099,0.00336884,0.00241996,0.00287721,0.00325755,0.00305305,0.00324641,0.00311787
SCsjo1,8.01,0.2499999999999999,0.00321363,0.00284141,0.00268307,0.00269423,0.00245385,0.00261185,0.00317536,0.00267455,0.00360141,0.00276527
SCsjo1,4.005,0.2499999999999999,0.00327334,0.00262266,0.00323747,0.003188,0.00303991,0.00375304,0.00266231,0.00313163,0.00354556,0.00330505
SCsjo1,2.0025,0.2499999999999999,0.00374068,0.00374068,0.00371549,0.00371549,0.00371549,0.00387106,0.00387106,0.003965,0.003965,0.0040732
SCsjo1,1.00125,0.2499999999999999,0.00531196,0.00531196,0.00531196,0.00531196,0.00510693,0.00510693,0.00510693,0.00510693,0.00510693,0.00486953
SCsjo1,0.500625,0.2499999999999999,0.00649781,0.00649781,0.00649781,0.00649781,0.00649781,0.00649781,0.00649781,0.00671003,0.00671003,0.00671003
