SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SPpei1,16.02,0.2499999999999999,0.00410266,0.00477052,0.0044434,0.00490213,0.00434336,0.00492876,0.00465946,0.00485468,0.00528919,0.00497692
SPpei1,8.01,0.2499999999999999,0.00454263,0.00460435,0.0045095,0.00461099,0.00474913,0.00421776,0.00477723,0.00462444,0.00474017,0.00440421
SPpei1,4.005,0.2499999999999999,0.00486605,0.00452807,0.00456608,0.0050554,0.0047351,0.00508337,0.00493603,0.00463602,0.00500369,0.00470922
SPpei1,2.0025,0.2499999999999999,0.00556839,0.00522699,0.00522699,0.00527828,0.00521988,0.00521988,0.00498337,0.00511498,0.00511498,0.00509511
SPpei1,1.00125,0.2499999999999999,0.00625659,0.00609491,0.00609491,0.00609491,0.00636285,0.00636285,0.00638246,0.00638246,0.00638246,0.00625564
SPpei1,0.500625,0.2499999999999999,0.0079192,0.0079192,0.00786821,0.00786821,0.00786821,0.0077641,0.0077641,0.0077641,0.00801519,0.00801519
