SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SPpesmI,16.02,0.2499999999999999,0.0145325,0.0144964,0.0138413,0.0131067,0.0137324,0.0148464,0.0133923,0.0132668,0.0142556,0.014158
SPpesmI,8.01,0.2499999999999999,0.0145796,0.0135418,0.0145798,0.0150655,0.0140316,0.0149137,0.0144584,0.0148819,0.014358,0.0142045
SPpesmI,4.005,0.2499999999999999,0.01517,0.0144808,0.0136237,0.0132402,0.0130581,0.0137138,0.0144795,0.0133147,0.0144008,0.0136624
SPpesmI,2.0025,0.2499999999999999,0.0137883,0.0137883,0.0146269,0.0144473,0.0138519,0.0138519,0.0147721,0.0147721,0.013667,0.0155485
SPpesmI,1.00125,0.2499999999999999,0.0155564,0.0155564,0.0148937,0.0148937,0.0148937,0.0148937,0.0141907,0.0141907,0.0141907,0.0141907
SPpesmI,0.500625,0.2499999999999999,0.0141959,0.0141959,0.0141959,0.0141959,0.0141959,0.0150483,0.0150483,0.0150483,0.0150483,0.0150483
