SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SPpesmI,16.02,0.09999999999999988,0.00791297,0.00709002,0.00732876,0.00718554,0.00756633,0.00719352,0.00739598,0.00680362,0.00719393,0.00602759
SPpesmI,8.01,0.09999999999999988,0.00752914,0.00838764,0.00797322,0.0074655,0.00768681,0.0069205,0.00693684,0.00737705,0.00764163,0.00665317
SPpesmI,4.005,0.09999999999999988,0.00671167,0.00736609,0.00687217,0.0081457,0.00719724,0.00743535,0.00782152,0.00838593,0.00727557,0.0072410800000000004
SPpesmI,2.0025,0.09999999999999988,0.00869047,0.00869047,0.00867384,0.00889829,0.00889829,0.00883726,0.008655,0.008655,0.00871522,0.00819237
SPpesmI,1.00125,0.09999999999999988,0.0106082,0.0106082,0.0104714,0.0104714,0.0104714,0.0104714,0.0106863,0.0106863,0.0106863,0.0110627
SPpesmI,0.500625,0.09999999999999988,0.0145364,0.0145364,0.0145364,0.0145364,0.0140973,0.0140973,0.0140973,0.0140973,0.0140973,0.0140797
