SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
MGlavr3,16.02,0.2499999999999999,0.0128288,0.0126424,0.0128492,0.0124729,0.0120797,0.012232,0.012398,0.0127856,0.0131835,0.0124673
MGlavr3,8.01,0.2499999999999999,0.0128905,0.0129348,0.0122877,0.0121616,0.0120441,0.0131814,0.0127165,0.0129657,0.0129315,0.0127237
MGlavr3,4.005,0.2499999999999999,0.0124536,0.0128889,0.0117466,0.012771,0.0133144,0.0123197,0.012295,0.0128235,0.0118987,0.0127273
MGlavr3,2.0025,0.2499999999999999,0.0129044,0.0121366,0.0123111,0.0123557,0.0125384,0.0128408,0.0127173,0.0128501,0.0124168,0.0126572
MGlavr3,1.00125,0.2499999999999999,0.0133886,0.0133886,0.0140997,0.0129888,0.0132023,0.0134407,0.0138844,0.0138844,0.0135871,0.0127337
MGlavr3,0.500625,0.2499999999999999,0.0156887,0.0156887,0.0152615,0.0154254,0.0147998,0.0147998,0.0151383,0.0151635,0.0155643,0.0155643
