SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
RSfaxi,16.02,0.09999999999999988,0.00113236,0.00114861,0.00107513,0.001215,0.00120839,0.00119621,0.00117773,0.00116168,0.00111201,0.00104452
RSfaxi,8.01,0.09999999999999988,0.00169666,0.00176908,0.00160559,0.0017487100000000001,0.00173194,0.00160472,0.00174342,0.00159372,0.0017438,0.00164548
RSfaxi,4.005,0.09999999999999988,0.00251398,0.00235562,0.00259421,0.0026993,0.00240137,0.00254792,0.00254417,0.00231486,0.00261373,0.00255534
RSfaxi,2.0025,0.09999999999999988,0.0037633,0.0037633,0.00368451,0.00368451,0.00386741,0.00386741,0.00386741,0.00346747,0.00346747,0.00369704
RSfaxi,1.00125,0.09999999999999988,0.00533536,0.00533536,0.00533536,0.00581531,0.00581531,0.00581531,0.00515868,0.00515868,0.00515868,0.00515807
RSfaxi,0.500625,0.09999999999999988,0.0075059,0.0075059,0.0075059,0.0075059,0.00780166,0.00780166,0.00780166,0.00780166,0.00780166,0.00778954
