SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
PRdiam2,16.02,0.09999999999999988,0.00127223,0.00126286,0.00128108,0.00110291,0.00123423,0.00134418,0.00144067,0.00137166,0.00130815,0.00134951
PRdiam2,8.01,0.09999999999999988,0.00206735,0.00195215,0.00187892,0.00182945,0.00200915,0.00180803,0.00184468,0.00177867,0.00186846,0.00182263
PRdiam2,4.005,0.09999999999999988,0.00279892,0.00302997,0.00301083,0.00298042,0.00293235,0.00298767,0.00290948,0.00316536,0.00303146,0.0028246
PRdiam2,2.0025,0.09999999999999988,0.00435389,0.00435389,0.0045488,0.0045488,0.00437173,0.00437173,0.00437173,0.00444248,0.00444248,0.00427963
PRdiam2,1.00125,0.09999999999999988,0.00647108,0.00647108,0.00647108,0.00647108,0.00647108,0.00646422,0.00646422,0.00646422,0.00646422,0.00646422
PRdiam2,0.500625,0.09999999999999988,0.00930971,0.00930971,0.00930971,0.00992527,0.00992527,0.00992527,0.00992527,0.00992527,0.00992527,0.00992527
