SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SCarar,16.02,0.09999999999999988,2.20904e-4,2.1297e-4,2.07719e-4,2.19489e-4,2.08838e-4,2.15103e-4,2.22255e-4,2.14579e-4,2.27878e-4,1.97475e-4
SCarar,8.01,0.09999999999999988,3.4861e-4,3.24464e-4,3.34507e-4,3.45002e-4,3.20206e-4,3.24385e-4,3.21828e-4,3.56616e-4,3.30867e-4,3.44147e-4
SCarar,4.005,0.09999999999999988,4.92816e-4,5.23747e-4,4.66929e-4,5.26928e-4,4.66915e-4,5.27262e-4,5.23357e-4,4.8228e-4,4.72189e-4,5.27916e-4
SCarar,2.0025,0.09999999999999988,7.43993e-4,7.26558e-4,7.10148e-4,7.10148e-4,7.32242e-4,7.46782e-4,7.46782e-4,7.12051e-4,7.53503e-4,7.53503e-4
SCarar,1.00125,0.09999999999999988,0.00104185,0.00104185,0.00104185,0.00104126,0.00104126,0.00104126,0.00103756,0.00103756,0.00103756,0.00103756
SCarar,0.500625,0.09999999999999988,0.00149408,0.00149408,0.00149408,0.00149408,0.00149408,0.0015111,0.0015111,0.0015111,0.0015111,0.00156569
