SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
PRrico3,16.02,0.2499999999999999,0.00100093,0.001111,9.72817e-4,0.00121792,0.0010482,0.00111886,0.0010933,0.00101851,8.97112e-4,9.70503e-4
PRrico3,8.01,0.2499999999999999,0.00126645,0.00137354,0.00126464,0.00114893,0.0012439,0.00149691,0.00117681,0.00160638,0.00139062,0.0014508
PRrico3,4.005,0.2499999999999999,0.00177022,0.0017927,0.0015369,0.00180607,0.00195919,0.00187113,0.00186788,0.00187592,0.00172959,0.00214706
PRrico3,2.0025,0.2499999999999999,0.00264403,0.00255432,0.00255432,0.00255432,0.00257536,0.00257536,0.00257536,0.00234085,0.00234085,0.00234085
PRrico3,1.00125,0.2499999999999999,0.0031548,0.00350207,0.00350207,0.00350207,0.00350207,0.00350207,0.00350207,0.00320199,0.00320199,0.00320199
PRrico3,0.500625,0.2499999999999999,0.00449924,0.00449924,0.00449924,0.00449924,0.00449924,0.00449924,0.00467921,0.00467921,0.00467921,0.00467921
