SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
PRanto4,16.02,0.2499999999999999,0.00660686,0.00676701,0.00684595,0.00717107,0.00654702,0.0076836,0.00613222,0.00719221,0.00742919,0.0065545
PRanto4,8.01,0.2499999999999999,0.00745428,0.00628205,0.00593367,0.0067045,0.00680742,0.00691153,0.00674858,0.00677359,0.00658633,0.00662194
PRanto4,4.005,0.2499999999999999,0.00676643,0.00605913,0.00648362,0.00700489,0.00707599,0.00703596,0.00677328,0.00711475,0.0068275,0.0075784
PRanto4,2.0025,0.2499999999999999,0.00719735,0.00719735,0.00652901,0.00652901,0.00711318,0.00673483,0.00673483,0.00699493,0.00699493,0.00654687
PRanto4,1.00125,0.2499999999999999,0.00688161,0.00729015,0.00729015,0.00729015,0.00729015,0.00728794,0.00728794,0.00728794,0.00644859,0.00644859
PRanto4,0.500625,0.2499999999999999,0.00769784,0.00769784,0.00769784,0.00802894,0.00802894,0.00802894,0.00802894,0.00802894,0.00802894,0.00831145
