SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
MGvico3,16.02,0.09999999999999988,0.00247106,0.00313443,0.00251604,0.00294989,0.00283393,0.00258848,0.002486,0.0035752,0.0026818,0.002635
MGvico3,8.01,0.09999999999999988,0.00307926,0.00300416,0.00298867,0.00299935,0.00305104,0.00310514,0.00314114,0.00312574,0.00298065,0.00326796
MGvico3,4.005,0.09999999999999988,0.00361167,0.00384844,0.00370205,0.00422008,0.00383567,0.00389539,0.00371895,0.00372782,0.00420002,0.00422413
MGvico3,2.0025,0.09999999999999988,0.00499439,0.00509811,0.00563378,0.0048959,0.00523741,0.00523741,0.0055057,0.00494298,0.00492125,0.00575943
MGvico3,1.00125,0.09999999999999988,0.0073095,0.0073095,0.0073095,0.00674544,0.00674544,0.00700165,0.00700165,0.00700165,0.0069273,0.0069273
MGvico3,0.500625,0.09999999999999988,0.00957633,0.00957633,0.00957633,0.00957633,0.00954102,0.00954102,0.00954102,0.00954102,0.0102093,0.0102093
