SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SCtimbe1,16.02,0.05,0.00162783,0.00141433,0.00149055,0.00163329,0.00136596,0.00150349,0.00148953,0.00149483,0.00126546,0.00155716
SCtimbe1,8.01,0.05,0.00183843,0.0016727,0.00190151,0.00173379,0.00187662,0.0019034,0.0017996,0.00174284,0.00198773,0.00174206
SCtimbe1,4.005,0.05,0.00252997,0.00232824,0.00216114,0.00241957,0.0023651,0.00239982,0.00233456,0.00260479,0.00236098,0.0023105
SCtimbe1,2.0025,0.05,0.00330144,0.00350632,0.0032313899999999998,0.00336477,0.00313999,0.00325715,0.0033922,0.00324581,0.00326064,0.00328368
SCtimbe1,1.00125,0.05,0.00438203,0.00439235,0.00439235,0.00419551,0.00419551,0.00449657,0.00449657,0.0045865,0.0045865,0.00441228
SCtimbe1,0.500625,0.05,0.00611831,0.00601439,0.00601439,0.00601439,0.00616118,0.00616118,0.00616118,0.00598448,0.00598448,0.00598448
