SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
SCtimbe1,16.02,0.09999999999999988,0.0024824,0.00234648,0.00253352,0.00223821,0.00230864,0.00223919,0.0029393,0.00252308,0.00237111,0.00262397
SCtimbe1,8.01,0.09999999999999988,0.00264306,0.00278244,0.00257372,0.00273335,0.00265712,0.00262438,0.00270721,0.00272507,0.00257913,0.00225662
SCtimbe1,4.005,0.09999999999999988,0.00281104,0.00297781,0.00272809,0.00307231,0.0027594,0.00273969,0.00277106,0.00317889,0.00324054,0.00272584
SCtimbe1,2.0025,0.09999999999999988,0.00362192,0.00370478,0.00370385,0.00374809,0.00353932,0.00367364,0.00377198,0.00391647,0.00363564,0.00364697
SCtimbe1,1.00125,0.09999999999999988,0.0047896,0.00461032,0.00461032,0.00455203,0.00455203,0.00468291,0.00468291,0.00470794,0.00470794,0.00469051
SCtimbe1,0.500625,0.09999999999999988,0.00587557,0.00587557,0.00578909,0.00578909,0.00578909,0.00587579,0.00587579,0.00587579,0.00617329,0.00617329
