SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
MSdour,16.02,0.2499999999999999,0.0078819,0.0076113,0.00788961,0.00905428,0.00884566,0.00790231,0.00802227,0.00776013,0.00924127,0.00715612
MSdour,8.01,0.2499999999999999,0.00878264,0.00894592,0.00858256,0.00821628,0.00825667,0.00991388,0.00854886,0.00774669,0.00832123,0.0090329
MSdour,4.005,0.2499999999999999,0.00838515,0.00894391,0.00953921,0.00929996,0.00949033,0.00890916,0.00818908,0.00884338,0.00791789,0.0087777
MSdour,2.0025,0.2499999999999999,0.00993928,0.00969238,0.00975468,0.00975468,0.00939232,0.00939232,0.00956245,0.00927874,0.00927874,0.0102648
MSdour,1.00125,0.2499999999999999,0.0127354,0.0137114,0.0137114,0.0137114,0.0137114,0.0125856,0.0125856,0.0125856,0.0125856,0.0120351
MSdour,0.500625,0.2499999999999999,0.0161593,0.0161593,0.0161593,0.0161593,0.0161593,0.0157681,0.0157681,0.0157681,0.0157681,0.0157681
