taxaU,SiteCode,k,land_type,nCongKS,Smed,Ssd,Smin,Smax
contemp,BAlenc4,0.19999999999999996,contemp,90,149.24,9.812504905744126,127,176
contemp,BAlenc4,0.19999999999999996,ideal,84,156.22,9.50021796666484,131,177
contemp,BAlenc4,0.19999999999999996,non_frag,81,156.23,9.580973358957351,134,181
contemp,BAlenc4,0.2499999999999999,contemp,83,151.06,9.580936459153845,131,189
contemp,BAlenc4,0.2499999999999999,ideal,80,154.74,10.304083725113136,133,184
contemp,BAlenc4,0.2499999999999999,non_frag,86,153.48,10.123958981275331,130,178
contemp,BAlenc4,0.29999999999999993,contemp,79,150.76,9.672537402252823,124,171
contemp,BAlenc4,0.29999999999999993,ideal,76,153.62,9.864516555244197,132,179
contemp,BAlenc4,0.29999999999999993,non_frag,79,151.25,8.797813089144094,133,176
contemp,BAlenc4,0.34999999999999987,contemp,86,148.6,9.233229405388196,131,181
contemp,BAlenc4,0.34999999999999987,ideal,84,151.68,10.551346316509049,132,182
contemp,BAlenc4,0.34999999999999987,non_frag,81,152.83,8.583581932263407,134,173
contemp,BAlenc4,0.3999999999999999,contemp,87,151.28,9.418528912133088,128,169
contemp,BAlenc4,0.3999999999999999,ideal,78,151.29,10.55652892907053,128,181
contemp,BAlenc4,0.3999999999999999,non_frag,84,151.17,8.886552091829996,131,175
contemp,BAlenc4,0.45,contemp,82,148.97,10.360623786844364,121,171
contemp,BAlenc4,0.45,ideal,81,150.1,9.242523596087944,127,176
contemp,BAlenc4,0.45,non_frag,90,150.21,8.762056628648114,133,173
contemp,BAlenc4,0.49999999999999994,contemp,89,145.6,8.382280492958122,125,165
contemp,BAlenc4,0.49999999999999994,ideal,89,145.77,9.676437068644343,127,173
contemp,BAlenc4,0.49999999999999994,non_frag,90,147.8,10.604935005206135,126,175
contemp,BAlenc4,0.5499999999999999,contemp,90,149.92,9.289594482891363,132,181
contemp,BAlenc4,0.5499999999999999,ideal,83,152.9,10.302985739654071,126,181
contemp,BAlenc4,0.5499999999999999,non_frag,85,151.31,9.325424137996906,131,174
contemp,BAlenc4,0.5999999999999999,contemp,89,148.93,9.714359880032646,129,177
contemp,BAlenc4,0.5999999999999999,ideal,94,150.05,9.46804834133938,125,175
contemp,BAlenc4,0.5999999999999999,non_frag,91,151.15,9.053572317995352,130,168
contemp,BAlenc4,0.6499999999999999,contemp,92,149.32,10.126353257862887,124,177
contemp,BAlenc4,0.6499999999999999,ideal,88,149.93,10.285082852992936,119,176
contemp,BAlenc4,0.6499999999999999,non_frag,88,148.03,10.098959842428819,120,182
contemp,BAlenc4,0.7,contemp,92,150.4,9.13534594060594,123,173
contemp,BAlenc4,0.7,ideal,89,150.7,9.607972278953104,131,175
contemp,BAlenc4,0.7,non_frag,94,151.59,11.09836187748608,125,185
contemp,BAlenc4,0.75,contemp,90,149.01,9.90408037532047,118,171
contemp,BAlenc4,0.75,ideal,93,150.05,9.630942347717097,119,173
contemp,BAlenc4,0.75,non_frag,94,151.68,8.571599805889402,130,174
contemp,BAlenc4,0.7999999999999999,contemp,90,150.58,8.788399148648153,130,175
contemp,BAlenc4,0.7999999999999999,ideal,88,152.38,9.630318286693868,128,185
contemp,BAlenc4,0.7999999999999999,non_frag,93,150.72,9.45171674855682,125,172
contemp,BAlenc4,0.85,contemp,92,149.43,9.618222393987468,121,174
contemp,BAlenc4,0.85,ideal,94,147.63,9.376151781099868,127,172
contemp,BAlenc4,0.85,non_frag,93,148.57,8.950204557224467,125,177
contemp,BAlenc4,0.8999999999999999,contemp,89,148.45,7.699370300894939,132,172
contemp,BAlenc4,0.8999999999999999,ideal,87,150.09,9.485869341906263,120,171
contemp,BAlenc4,0.8999999999999999,non_frag,96,148.51,8.560533118487848,121,167
contemp,BAlenc4,0.95,contemp,86,150,8.556408195739683,126,170
contemp,BAlenc4,0.95,ideal,86,152.88,9.024411338142782,132,179
contemp,BAlenc4,0.95,non_frag,87,152.41,9.797025935033405,125,176
contemp,BAlenc4,0.99,contemp,87,151.48,9.318689811233112,128,172
contemp,BAlenc4,0.99,ideal,89,150.71,9.696708803308555,127,180
contemp,BAlenc4,0.99,non_frag,84,152.7,8.993263472109993,130,176
contemp,BAuruc,0.05,contemp,91,456.57,17.679100827265113,416,500
contemp,BAuruc,0.05,ideal,95,482.78,14.279730637190152,454,514
contemp,BAuruc,0.05,non_frag,91,481.43,15.274759665156203,435,518
contemp,BAuruc,0.09999999999999988,contemp,91,460.53,15.364563058538241,420,492
contemp,BAuruc,0.09999999999999988,ideal,85,455.78,16.00099744365704,427,501
