contraste,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
Área per se,efeito fixo por preserv,0,157.69238972327483,0.9840629227288549,0.4270693765134752,-0.06849715633465275,0.8272841808942106
Área per se,efeito fixo comum,8.246083084934071,159.6585701171362,0.01593707727114506,0.42607486960840135,-0.07788341645729348,0.863094685322737
Frag. per se,efeito fixo comum,0,197.55488330767494,0.9057562376624236,0.5577357873149882,0.020544816774418447,0.3129203846831289
Frag. per se,efeito fixo por preserv,4.525771148891181,197.11026971144523,0.09424376233757642,0.5565528072935588,0.026053169561514482,0.2817881271024188
Frag. total,efeito fixo comum,0,212.17511973436586,0.8745425571030377,0.6975594251025351,-0.03913540733070513,0.6827144377698676
Frag. total,efeito fixo por preserv,3.8834687142607436,213.60203344088146,0.12545744289696217,0.6975093934768333,-0.03933085423393194,0.6838650295860782
