modelo,dAICc,df,weight,dev.expl
"s(k,by=land) + (lat,long)",0,1489.286853482939,0.9878026921462159,0.9400576661294893
"s(k,by=land)",8.78853542766592,1489.8280396792538,0.012197307853784176,0.9400338938881594
"s(k,by=land) - te(k,plot,by=land)",82761.0891970867,133.65797995529286,0,0.6437807088084678
